timestamp,phase,tool_id,chamber_id,recipe_group,monitor_type,metric_name,value,unit,lot_id_hash,monitor_wafer_id_hash,measurement_id,sequence_id
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Particle,particle_cluster_adder,1.0,count,LOT_45b681ffc5ae,WFR_16b20a7dffdd,MEA_bb915c2ffd0a,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Particle,particle_large_adder,0.0,count,LOT_45b681ffc5ae,WFR_d7bf404a7d34,MEA_2a31bbe443df,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Particle,particle_total_adder,3.0,count,LOT_45b681ffc5ae,WFR_ce05c0317e30,MEA_a7db09a2a47d,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_rtr_mean,100.06060943415952,nm,LOT_45b681ffc5ae,WFR_cb2ddea4e6d6,MEA_79c5ca41e6d4,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_sigma,0.060509209938695435,nm,LOT_45b681ffc5ae,WFR_d5765af3a4bb,MEA_7707d49458c4,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_wiw_stdev,1.205158565114192,nm,LOT_45b681ffc5ae,WFR_971e24af50c4,MEA_6c4fcb8b04be,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_BASELINE,Thickness,thickness_xbar,100.06060943415952,nm,LOT_45b681ffc5ae,WFR_262e2180f2e4,MEA_21c97774a216,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Particle,particle_cluster_adder,2.0,count,LOT_611acf81ae3a,WFR_5763939b499b,MEA_6ae46bfe0b80,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Particle,particle_large_adder,0.0,count,LOT_611acf81ae3a,WFR_f2a573a8e373,MEA_a7bc80b3d9fc,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Particle,particle_total_adder,0.0,count,LOT_611acf81ae3a,WFR_614b92f8cf29,MEA_c96ff492986b,1
2026-01-01 08:00:00,baseline,RTO_A01,CH1,RTO_OXIDE_A,Thickness,thickness_rtr_mean,100.24057165227921,nm,LOT_611acf81ae3a,WFR_530741ec9dd8,MEA_5287acc1c7d6,1
